Name,Resource,v2,Arguments,Implemented
file.changeName:before,File,,"$file,$name",checked
file.changeName:after,File,panel.file.rename,"$newFile,$oldFile",checked
file.changeSort:before,File,,"$file,$position",checked
file.changeSort:after,File,panel.file.sort,"$newFile,$oldFile",checked
file.create:before,File,,"$file,$upload",checked
file.create:after,File,panel.file.upload,$file,checked
file.delete:before,File,,$file,checked
file.delete:after,File,panel.file.delete,"$status,$file",checked
file.replace:before,File,,"$file,$upload",checked
file.replace:after,File,panel.file.replace,"$newFile,$oldFile",checked
file.update:before,File,,"$file,$input",checked
file.update:after,File,panel.file.update,"$newFile,$oldFile",checked
page.changeNum:before,Page,,"$page,$num",checked
page.changeNum:after,Page,,"$newPage,$oldPage",checked
page.changeSlug:before,Page,,"$page,$slug",checked
page.changeSlug:after,Page,panel.page.move,"$newPage,$oldPage",checked
page.changeStatus:before,Page,,"$page,$status,$position",checked
page.changeStatus:after,Page,panel.page.sort,"$newPage,$oldPage",checked
page.changeTemplate:before,Page,,"$page,$template",checked
page.changeTemplate:after,Page,,"$newPage,$oldPage",checked
page.changeTitle:before,Page,,"$page,$title",checked
page.changeTitle:after,Page,,"$newPage,$oldPage",checked
page.create:before,Page,,"$parent,$input",checked
page.create:after,Page,panel.page.create,$page,checked
page.delete:before,Page,,$page,checked
page.delete:after,Page,panel.page.delete,"$status,$page",checked
page.update:before,Page,,"$page,$values,$strings",checked
page.update:after,Page,panel.page.update,"$newPage,$oldPage",checked
site.update:before,Site,,"$site,$values,$strings",checked
site.update:after,Site,panel.site.update,"$newSite,$oldSite",checked
user.changeEmail:before,User,,"$user,$email",checked
user.changeEmail:after,User,,"$newUser,$oldUser",checked
user.changeName:before,User,,"$user,$name",checked
user.changeName:after,User,,"$newUser,$oldUser",checked
user.changeLanguage:before,User,,"$user,$language",checked
user.changeLanguage:after,User,,"$newUser,$oldUser",checked
user.changePassword:before,User,,$user,checked
user.changePassword:after,User,,"$newUser,$oldUser",checked
user.changeRole:before,User,,"$user,$role",checked
user.changeRole:after,User,,"$newUser,$oldUser",checked
user.create:before,User,,$input,checked
user.create:after,User,panel.user.create,$user,checked
user.delete:before,User,,$user,checked
user.delete:after,User,panel.user.delete,"$status,$user",checked
user.update:before,User,,"$user,$values,$strings",checked
user.update:after,User,panel.user.update,"$newUser,$oldUser",checked
route:before,Kirby,,"$route,$path,$method",checked
route:after,Kirby,,"$route,$path,$method,$result",checked
kirbytags:before,Kirby,,"$text,$data,$options",checked
kirbytags:after,Kirby,,"$text,$data,$options",checked
