Name,Arguments,Type,Return
file.changeName:before,"$file,$name",trigger,
file.changeName:after,"$newFile,$oldFile",trigger,
file.changeSort:before,"$file,$position",trigger,
file.changeSort:after,"$newFile,$oldFile",trigger,
file.create:before,"$file,$upload",trigger,
file.create:after,$file,trigger,
file.delete:before,$file,trigger,
file.delete:after,"$status,$file",trigger,
file.replace:before,"$file,$upload",trigger,
file.replace:after,"$newFile,$oldFile",trigger,
file.update:before,"$file,$values,$strings",trigger,
file.update:after,"$newFile,$oldFile",trigger,
kirbytags:before,"$text,$data,$options",apply,$text
kirbytags:after,"$text,$data,$options",apply,$text
kirbytext:before,"$text",apply,$text
kirbytext:after,"$text",apply,$text
page.changeNum:before,"$page,$num",trigger,
page.changeNum:after,"$newPage,$oldPage",trigger,
page.changeSlug:before,"$page,$slug,$languageCode",trigger,
page.changeSlug:after,"$newPage,$oldPage",trigger,
page.changeStatus:before,"$page,$status,$position",trigger,
page.changeStatus:after,"$newPage,$oldPage",trigger,
page.changeTemplate:before,"$page,$template",trigger,
page.changeTemplate:after,"$newPage,$oldPage",trigger,
page.changeTitle:before,"$page,$title,$languageCode",trigger,
page.changeTitle:after,"$newPage,$oldPage",trigger,
page.create:before,"$page,$input",trigger,
page.create:after,$page,trigger,
page.delete:before,"$page,$force",trigger,
page.delete:after,"$status,$page",trigger,
page.duplicate:before,"$originalPage,$input,$options",trigger,
page.duplicate:after,$duplicatePage,trigger,
page.update:before,"$page,$values,$strings",trigger,
page.update:after,"$newPage,$oldPage",trigger,
route:before,"$route,$path,$method",trigger,
route:after,"$route,$path,$method,$result,$final",apply,$result
site.changeTitle:before,"$site,$title,$languageCode",trigger,
site.changeTitle:after,"$newSite,$oldSite",trigger,
site.update:before,"$site,$values,$strings",trigger,
site.update:after,"$newSite,$oldSite",trigger,
user.changeEmail:before,"$user,$email",trigger,
user.changeEmail:after,"$newUser,$oldUser",trigger,
user.changeLanguage:before,"$user,$language",trigger,
user.changeLanguage:after,"$newUser,$oldUser",trigger,
user.changeName:before,"$user,$name",trigger,
user.changeName:after,"$newUser,$oldUser",trigger,
user.changePassword:before,"$user,$password",trigger,
user.changePassword:after,"$newUser,$oldUser",trigger,
user.changeRole:before,"$user,$role",trigger,
user.changeRole:after,"$newUser,$oldUser",trigger,
user.create:before,"$user,$input",trigger,
user.create:after,$user,trigger,
user.delete:before,$user,trigger,
user.delete:after,"$status,$user",trigger,
user.login:before,"$user,$session",trigger,
user.login:after,"$user,$session",trigger,
user.logout:before,"$user,$session",trigger,
user.logout:after,"$user,$session",trigger,
user.update:before,"$user,$values,$strings",trigger,
user.update:after,"$newUser,$oldUser",trigger,
system.loadPlugins:after,"",trigger,
